,sigma_random_los,Re,halo_id,zeta,xi,triaxiality,zeta_new,xi_new
0,198.71783037337445,20.744230620177632,1,0.8167802506729211,0.5578363701626572,0.4832477371877611,1.0,0.5067330502092924
1,154.3721331249092,8.852645980356192,5,0.9118359345505413,0.5313257720483219,0.23485702984634674,1.0,0.5079038519773956
2,202.76465272223538,8.902068582929424,6,0.8707334133646549,0.533218725612656,0.3378941277871335,1.0,0.4987550433176577
5,160.8098878587922,8.65367059477892,9,0.8536678472650123,0.5707570066558565,0.4023087313496645,1.0,0.528996955919592
51,229.1176020781556,15.20692399506123,17186,0.9593381554321946,0.5651987264584983,0.11706745536795937,1.0,0.5537077150759098
54,169.46271739371116,7.558064146818207,17190,0.9878925742996014,0.46438505993411516,0.030685750684626468,1.0,0.46157380612935145
55,168.18243843230889,5.694205007576275,17191,0.7697666638411228,0.37528454896135455,0.47425225614940847,1.0,0.3320830421032285
62,152.42184356021284,3.9254646691418027,17199,0.789961038661302,0.39231522121365037,0.4443523799985298,1.0,0.35111448042311205
91,197.759620514568,12.003320043996057,31343,0.9373235066951126,0.3720608076143922,0.1409340359227295,1.0,0.360401074255665
92,191.76809459159568,10.933454134284018,31344,0.9635619196611033,0.47338659593456056,0.0922128545614958,1.0,0.4647619465275504
131,155.2752833884236,8.80423157513989,41585,0.9782264416118327,0.46120341106567464,0.05471040098522631,1.0,0.45618239136584443
168,256.3824195307321,7.874908869554949,52619,0.8916473854497872,0.39029825739392293,0.24179881329380498,1.0,0.36915333907241116
169,155.69517877427828,11.225224987652854,52621,0.983602609297411,0.6356993145900678,0.05458407508036175,1.0,0.6304874095747172
323,222.24736330748516,10.171597699048581,102684,0.9637261593595939,0.4764130943468693,0.09214627871928394,1.0,0.46777242801519875
369,326.65644403461164,19.744819906322558,121863,0.961870507710482,0.563058368396885,0.10952991208901378,1.0,0.5523238035387161
497,182.51928443013153,11.781678077227523,165728,0.9570162378262174,0.3476198007205155,0.09568210015192845,1.0,0.3401487972999813
551,216.0611781913831,41.004932483484886,191079,0.855769558002292,0.5482004848364882,0.3826555538552457,1.0,0.508666885720826
552,155.33405599616583,7.211612884733711,191080,0.9410301514584578,0.4457985491353902,0.14285217298127367,1.0,0.4326542126741136
554,202.95109376522592,4.903140914282062,191082,0.8566096145611349,0.49508395948825973,0.35265973544421975,1.0,0.4595888196004492
561,212.59037209389075,19.344205942463503,194947,0.9234982438094509,0.614281271172838,0.23632695768418077,1.0,0.5907844731529955
